"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1182","TS-7 Verify user is able to delete the booking id","api","2026-04-26","failed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","3364","TS-1 Fetch all booking id using GET API Call","api","2026-04-26","passed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","690","TS-5 Create auth token","api","2026-04-26","passed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","1103","TS -4 User is able to update the booking id","api","2026-04-26","failed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","0","Login Page Test","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-page.spec.ts","",""
"","30464","Global setup for Auto Login","setup","2026-04-26","broken","2026-04-26","","setup\auth.setup.ts","",""
"","0","Login Page Test 2","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-page.spec.ts","",""
"","0","Login verify that the user cannot log in with an invalid username and password","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-module.spec.ts","",""
"","2694","TS-2 Fetch booking id 1 using GET API Call","api","2026-04-26","passed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","1313","TS-6 User is partialy updated the booking id","api","2026-04-26","failed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","1","Login Page Test 3","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-page.spec.ts","",""
"","0","Login verify that the user cannot log in with an invalid password","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-module.spec.ts","",""
"","0","Login verify that the user can log in with valid credentials","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-module.spec.ts","",""
"","2580","TS-3 Verify user is able to booking","api","2026-04-26","passed","2026-04-26","","API-Test\rest-book-get.spec.ts","",""
"","1","Login verify that the user cannot log in with an invalid username","chromium","2026-04-26","skipped","2026-04-26","","UI-Test\login-module.spec.ts","",""
"","0","Verify that an employee successfully created in pim module","chromium","2026-04-26","skipped","2026-04-26","Pim Pgae test","UI-Test\pim-module.spec.ts","",""
